Radius,Mass,J,I
15.0,0.1941371538913892,0.0024867595857752836,0.10329055013454558
13.66,0.2463737575060127,0.004225749797293809,0.1351395232886506
12.92,0.30980826983604504,0.006197393260997885,0.1649097646227233
12.54,0.3918612154994906,0.008776147547091379,0.1980174861872768
12.36,0.4871716883683829,0.01051502941493929,0.2163333550807489
12.32,0.6023320163661341,0.012500349148800131,0.23404014640616394
12.36,0.7401610627978973,0.014617745425516887,0.2545012017319277
12.42,0.8905120278217796,0.01671743983219355,0.27142760066080684
12.52,1.060200086596638,0.01805693580152927,0.28472761566873744
12.58,1.2366314480636427,0.019078518412946957,0.2903737408340333
12.62,1.4118503453171183,0.01976279667917636,0.29423956534808177
12.62,1.5899052653730774,0.0208526418211083,0.3022119421557886
12.56,1.7635921032020896,0.021278207457137297,0.30522632762934365
12.44,1.9059406555437077,0.021196762780587762,0.303464124127905
12.28,2.0422282049327296,0.021408348455955833,0.3049991830246217
12.06,2.137608713751432,0.02118703675905124,0.3019893616583278
11.8,2.2095962468845958,0.020876166440236713,0.2969941972135377
11.5,2.2584588445252463,0.02097081040250591,0.29788746364209884
11.18,2.2781499134762817,0.020275410707892943,0.29064374896235956
10.86,2.2774491431291892,0.020033099933599863,0.28926057856169995
10.52,2.258483539502359,0.019365112157767848,0.2838746261738194
10.18,2.2205438326004003,0.018477228271579365,0.27565465712657194
9.82,2.1883711245332766,0.017954347850077393,0.27119364133945695
9.48,2.172565516052883,0.01774397780866126,0.27006633540036556
9.2,2.1663100582331363,0.01785081448899086,0.2732655935567367
8.94,2.1601150597464756,0.018216637928292638,0.2815664824909889
8.78,2.1717759209244143,0.018517831109340546,0.2836313475925177
